-79;47;22;76;21;16
-83;86;-80;-64;48;47
80;-1;79;-7;11;44
-1;90;74;-7;85;67
88;58;89;-9;-66;94
-54;-62;75;-1;45;-31
88;40;-72;39;29;17
-45;-51;12;35;3;11
83;14;32;29;-32;-57
-45;-32;-69;-13;-32;81
-59;23;-20;-88;-71;97
-74;4;81;39;-99;21
99;92;-65;27;-66;-16
-76;-37;-81;-78;-20;-66
20;19;53;-18;-14;-50
-40;1;-19;100;48;51
-77;-23;-23;-63;55;81
-21;94;-65;77;-95;-23
-26;-36;-48;85;73;-63
7;-98;-19;-87;-23;-43
-2;-58;-41;76;19;73
-48;0;-39;-69;10;83
48;-36;75;-59;96;-62
-99;-10;-65;53;79;-53
53;-62;21;94;-60;16
-15;-99;0;-93;82;-93
-75;-47;54;71;3;29
94;89;30;-38;-18;55
76;29;47;-51;-60;-95
-78;23;67;60;79;-14
-16;75;6;7;23;56
26;26;-26;-56;-48;0
-22;72;21;-42;-83;23
56;-60;1;-43;98;58
-5;-97;13;-32;23;-21
-80;17;-98;-17;-38;63
-92;-40;99;22;7;-38
-74;7;-97;-53;59;-78
-42;-69;14;-37;35;65
27;-4;17;-94;-26;-91
95;21;76;38;-38;-37
-6;33;66;2;49;-74
-63;-92;67;4;-25;-72
-63;23;-29;93;-57;-49
37;3;-31;-44;48;8
77;15;29;-61;-69;-66
38;-61;37;-88;-1;54
-33;80;-68;-59;88;29
-31;90;-63;11;3;-14
-36;-72;-51;97;3;17
63;50;21;78;-82;16
-28;75;86;56;62;14
-54;-14;-58;84;84;22
44;-74;62;1;13;43
73;6;12;-94;-21;31
-36;-8;-81;-64;-61;-49
54;-62;100;18;93;-88
-27;-44;15;-33;92;30
96;-71;-3;-85;-45;17
43;-50;69;-48;34;-24
90;55;22;80;-78;-97
73;-13;-68;-11;-77;-42
70;65;-32;-51;-46;39
-85;-2;-69;72;30;-88
-7;-18;-86;-21;42;42
16;-11;-58;5;-43;28
52;34;-15;46;50;17
13;48;-37;-58;18;66
80;-18;-61;-97;62;31
99;5;20;74;-91;88
-11;-36;44;-88;-42;-85
17;30;45;22;71;-37
45;28;-29;-45;44;-59
17;53;-61;-87;71;43
-21;46;-5;-37;43;4
-29;95;10;71;56;19
-46;-16;63;23;-15;34
-54;-46;79;-24;-4;97
75;-74;-5;-14;-63;-52
50;74;-26;-6;68;30
16;-18;29;-81;-72;-54
82;-75;-44;-95;-38;-69
-27;32;-61;-93;-65;-78
-63;11;-76;-71;-83;-54
-7;19;17;-5;95;-66
54;30;39;-44;-24;-38
68;99;-50;14;-61;-26
12;43;25;-45;4;75
34;-77;-49;-56;34;-63
-49;2;-33;50;38;58
-5;76;-28;20;2;7
-72;-21;46;54;-91;-34
-70;10;12;28;-79;76
1;-53;15;-30;-48;56
72;37;84;5;-91;-14
-49;100;-39;-86;31;-51
-48;36;-57;11;75;-59
-56;-71;26;-95;-15;40
-15;68;-89;93;-94;51
-57;87;13;-41;40;100
-76;81;-34;-42;-88;63
2;84;22;-64;94;22
12;-67;29;-49;-11;-69
-95;-31;-66;-85;21;-55
74;-92;87;-89;-62;11
-63;-92;-58;-87;98;3
-13;-92;34;92;-69;-81
-55;-6;-52;68;7;1
-29;7;-24;25;17;41
-59;-73;62;21;64;5
-34;61;-56;-10;58;-34
-39;71;98;-50;7;97
86;-61;-78;-17;-71;81
-51;-10;-83;-11;19;-8
42;-47;-61;80;-33;-67
-4;-70;-18;46;-99;-74
75;100;-80;36;56;-81
40;-37;-70;56;-35;-86
-56;-10;72;26;41;-18
-79;-38;32;-75;-11;-53
43;82;19;-28;-83;51
-35;98;-51;-99;87;44
99;85;92;-37;-27;76
-16;-68;-15;-31;-72;-73
-21;-18;-68;-9;87;-73
-87;48;62;-31;18;-99
34;85;10;-10;-2;70
