16;3
12;14
26;3
19;6
14;21
3;23
7;27
8;13
10;23
29;24
20;27
7;20
25;29
10;7
23;22
7;28
30;16
12;21
28;18
8;5
27;27
14;9
12;20
11;28
6;6
6;10
20;6
11;23
9;11
10;3
15;12
9;2
24;19
10;14
20;28
15;28
10;8
28;24
26;18
14;20
24;27
15;16
7;3
4;7
29;30
5;16
18;3
8;17
20;16
9;15
2;24
9;22
21;22
18;6
21;4
7;2
21;5
7;20
23;25
21;14
13;7
2;23
3;5
12;27
28;14
19;25
14;8
3;12
10;28
13;9
23;17
27;2
2;20
4;16
29;23
18;29
29;23
30;23
2;24
23;3
24;21
27;28
21;15
12;19
21;10
4;2
12;16
8;9
26;22
25;21
17;10
17;30
7;13
25;26
29;3
4;19
22;13
12;25
5;21
9;3
13;26
30;18
4;24
5;6
12;11
3;28
10;16
21;15
26;8
13;29
16;24
30;4
18;7
26;23
10;8
30;20
29;15
28;23
18;21
8;11
8;19
7;22
25;10
8;20
11;26
20;10
19;26
13;5
8;27
21;28
21;30
15;16
24;28
10;10
24;10
15;10
5;3
7;14
21;2
5;25
4;28
20;19
18;14
21;23
9;14
16;21
30;4
18;18
10;6
16;15
30;3
23;20
3;18
17;5
23;24
21;17
8;29
5;2
19;7
27;29
14;8
13;13
11;23
24;20
23;10
14;3
6;30
15;16
24;4
14;7
15;21
5;19
18;3
27;7
30;23
14;18
12;15
13;18
6;27
5;19
29;5
9;10
6;16
28;5
4;25
28;17
24;21
6;6
3;21
9;28
20;6
5;10
8;21
3;26
6;16
25;4
30;6
18;16
5;16
8;6
